name,price,rating,category,website,timestamp,price_cleaned
"Lenovo V15 Business Laptop Computer, 15.6"" FHD Display, Intel Dual-Core CPU, 32GB DDR4 RAM, 2TB PCIe SSD, WiFi 6, Bluetooth 5.2, RJ-45, Type-C, HDMI, Numeric Keypad, Black, Windows 11 Pro, Tichang",899,N/A,laptops,Amazon,2024-12-09 15:22:14,899.0
"HP 15.6 Flagship Touchscreen Laptop | Bluetooth Earphones | 16GB RAM | 1TB Storage (512GB SSD and 512GB External) | 15.6"" Touchscreen Display | Intel Fast Multi-Tasking 6-Core | Type-C ｜Windows 11",599,N/A,laptops,Amazon,2024-12-09 15:22:15,599.0
"Lenovo V15 G2 Laptop, 15.6"" FHD Screen, Intel Dual-core Processor, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",349,N/A,laptops,Amazon,2024-12-09 15:22:15,349.0
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",279,N/A,laptops,Amazon,2024-12-09 15:22:15,279.0
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",176,N/A,laptops,Amazon,2024-12-09 15:22:15,176.0
ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),134,N/A,laptops,Amazon,2024-12-09 15:22:15,134.0
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",206,N/A,laptops,Amazon,2024-12-09 15:22:15,206.0
"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",212,N/A,laptops,Amazon,2024-12-09 15:22:16,212.0
"Lenovo V15 15.6"" FHD Business Laptop Computer, Intel Dual-Core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, AC WiFi, Bluetooth 5.1, RJ-45, Type-C, HDMI, Numeric Keypad, Windows 11 Pro, Befectoy",419,N/A,laptops,Amazon,2024-12-09 15:22:16,419.0
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",276,N/A,laptops,Amazon,2024-12-09 15:22:16,276.0
