name,price,rating,category,website,timestamp
"Amazon Echo Buds with Active Noise Cancellation (newest model), Wireless earbuds with active noise cancellation and Alexa, Wireless charging case, Glacier White",44,,headphones,Amazon,2024-12-09 15:22:31
"Bose QuietComfort Bluetooth Headphones, Wireless Headphones, Over Ear Noise Cancelling Headphones with Mic, Up To 24 Hours of Battery Life, Black",199,,headphones,Amazon,2024-12-09 15:22:31
"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",88,,headphones,Amazon,2024-12-09 15:22:31
"Beats Studio Pro x Kim Kardashian – Bluetooth Noise Cancelling Headphones, Personalized Spatial Audio, USB-C Lossless Audio, Apple & Android Compatibility, Up to 40 Hours Battery Life – Moon",349,,headphones,Amazon,2024-12-09 15:22:31
"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Purple)",34,,headphones,Amazon,2024-12-09 15:22:31
"Amazon Echo Buds with Active Noise Cancellation (newest model), Wireless charging case, Black",44,,headphones,Amazon,2024-12-09 15:22:32
"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headset, Deep Bass for Home Office Cellphone PC Ect.",19,,headphones,Amazon,2024-12-09 15:22:32
"JBL Tune 230NC TWS - True Wireless In-Ear Headphones, Active Noise Cancelling with Smart Ambient, JBL Pure Bass Sound, 4 mics for perfect voice calls, IPX4, 40Hrs of battery life (Black)",44,,headphones,Amazon,2024-12-09 15:22:32
"Apple EarPods Headphones with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume",15,,headphones,Amazon,2024-12-09 15:22:32
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",9,,headphones,Amazon,2024-12-09 15:22:32
2 Pack Wired Headphones for iPhone Earbuds with 3.5mm Plug Earphones Built-in Microphone & Volume Control Compatible with iPhone/ipad/Android/Computer and Other 3.5mm Jack Devices,12,N/A,headphones,Amazon,2024-12-09 15:22:32
"Picun B8 Headphones Wireless Bluetooth, 120H Bluetooth Headphones Over Ear with 3EQ Music Modes, Hands-Free Calls, Deep Bass Headphones for Travel Home Office Cellphone PC (Pink)",23,,headphones,Amazon,2024-12-09 15:22:32
"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization (White)",24,,headphones,Amazon,2024-12-09 15:22:32
"JBL Tune 760NC - Wireless Over-ear Noise Cancelling headphones, JBL Pure Bass Sound, Voice Assist, Google Fast Pair, Up to 50Hrs of Battery with ANC off, Lightweight and foldable design (Black)",69,,headphones,Amazon,2024-12-09 15:22:32
"Lenovo - IdeaPad 1 14"" HD Laptop - Intel Celeron N4020 - 4GB Memory with 128GB eMMC Storage - Abyss Blue",$149.99,N/A,laptops,BestBuy,2024-12-09 15:23:00
"HP - 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD - Natural Silver",$629.99,N/A,laptops,BestBuy,2024-12-09 15:23:00
"Samsung - Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD - Silver",$529.99,N/A,laptops,BestBuy,2024-12-09 15:23:02
"HP - 15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC - Natural Silver",$179.00,N/A,laptops,BestBuy,2024-12-09 15:23:02
"ASUS 14"" FHD Laptop - Intel Pentium N6000 with 4GB Memory - 64GB eMMC - Star Black",$119.99,N/A,laptops,BestBuy,2024-12-09 15:23:02
"Lenovo - IdeaPad 1 15"" FHD Laptop - Ryzen 5 7520U - 16GB Memory with 256GB SSD Storage - Abyss Blue",$579.99,N/A,laptops,BestBuy,2024-12-09 15:23:03
"Lenovo Ideapad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i3-1215U with 8GB Memory - Intel UHD Graphics - 256GB SSD - Cloud Gray",$499.99,N/A,laptops,BestBuy,2024-12-09 15:23:03
"ASUS - Vivobook S 15 15"" 3K OLED Laptop - Copilot+ PC - Qualcomm Snapdragon X Plus - 16GB Memory - 512GB SSD - Neutral Black",$899.99,N/A,laptops,BestBuy,2024-12-09 15:23:03
"15.6"" Full HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - Natural Silver",$549.99,N/A,laptops,BestBuy,2024-12-09 15:23:03
"Lenovo - Yoga 7 2-in-1 14"" 2K Touchscreen Laptop - AMD Ryzen 7 8840HS with 16GB Memory - 1 TB SSD - Artic Grey",$899.99,N/A,laptops,BestBuy,2024-12-09 15:23:04
"HP - 15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD - Natural Silver",$349.99,N/A,laptops,BestBuy,2024-12-09 15:23:04
"HP - Envy 2-in-1 16"" 2K Touch-Screen Laptop - AMD Ryzen 7 - 16GB Memory - 1TB SSD - Meteor Silver","$1,099.99",N/A,laptops,BestBuy,2024-12-09 15:23:04
"HP - 17.3"" Full HD Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD - Natural Silver",$349.99,N/A,laptops,BestBuy,2024-12-09 15:23:04
"HP - Envy 2-in-1 16"" 2K Touch-Screen Laptop - Intel Core Ultra 7 - 16GB Memory - 1TB SSD - Glacier Silver","$1,099.99",N/A,laptops,BestBuy,2024-12-09 15:23:04
"Acer - Chromebook 315 - 15.6"" HD Laptop - Intel Pentium N6000 - 4GB LPDDR4X - 128GB eMMC (Protective Sleeve) - Silver",$349.00,N/A,laptops,BestBuy,2024-12-09 15:23:05
"HP - Envy 16"" Wide Ultra XGA Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD - Natural Silver",$999.99,N/A,laptops,BestBuy,2024-12-09 15:23:05
"Lenovo - LOQ 15.6"" Gaming Laptop FHD - AMD Ryzen 5 7235HS with 12GB Memory - NVIDIA GeForce RTX 3050 6GB - 512GB SSD - Luna Grey",$799.99,N/A,laptops,BestBuy,2024-12-09 15:23:05
"Lenovo - IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage - Abyss Blue",$379.99,N/A,laptops,BestBuy,2024-12-09 15:23:05
Sony - WH1000XM4 Wireless Noise-Cancelling Over-the-Ear Headphones - Black,$199.99,N/A,headphones,BestBuy,2024-12-09 15:23:26
